DishName,Country,Region/City,Ingredients,Description,CookingMethod,TypicalPrice(USD),Vegetarian
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,3.28,0
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,2.37,1
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,2.78,1
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,1.89,0
Pad Thai,Thailand,Bangkok,"Rice 0odles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,3.48,1
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,2.83,1
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,0.47,1
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,2,1
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,4.69,1
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,4.26,0
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,2.32,1
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,1.38,1
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,3.68,1
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,4.43,1
Yakisoba,Japan,Tokyo,"0odles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.89,0
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,1.07,1
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,1.28,1
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,4.98,1
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,3.54,1
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,2.75,1
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,3.05,1
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,3.48,1
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,4.27,1
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,3.77,0
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,4.42,0
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,4.2,0
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,4.37,1
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,0.86,1
